code,cgst,sgst,igst
7609,9%,9%,18%
7610,9%,9%,18%
7611,9%,9%,18%
7612,9%,9%,18%
7613,9%,9%,18%
7614,9%,9%,18%
7615,9%,9%,18%
7616,9%,9%,18%
7801,9%,9%,18%
7802,9%,9%,18%
7804,9%,9%,18%
7806,9%,9%,18%
7901,9%,9%,18%
7902,9%,9%,18%
7903,9%,9%,18%
7904,9%,9%,18%
7905,9%,9%,18%
7907,9%,9%,18%
8001,9%,9%,18%
8002,9%,9%,18%
8003,9%,9%,18%
8007,9%,9%,18%
8101 to 8112,9%,9%,18%
8113,9%,9%,18%
8202,9%,9%,18%
8203,9%,9%,18%
8204,9%,9%,18%
8205,9%,9%,18%
8206,9%,9%,18%
8207,9%,9%,18%
8208,9%,9%,18%
8209,9%,9%,18%
8210 00 00,9%,9%,18%
8212,9%,9%,18%
8213 00 00,9%,9%,18%
8214,9%,9%,18%
8301,9%,9%,18%
8302,9%,9%,18%
8303,9%,9%,18%
8304,9%,9%,18%
8305,9%,9%,18%
8307,9%,9%,18%
8308,9%,9%,18%
8309,9%,9%,18%
8310,9%,9%,18%
8311,9%,9%,18%
84,9%,9%,18%
84 or 85,9%,9%,18%
8401,9%,9%,18%
8402,9%,9%,18%
8403,9%,9%,18%
8404,9%,9%,18%
8405,9%,9%,18%
8406,9%,9%,18%
 ,9%,9%,18%
8410,9%,9%,18%
8411,9%,9%,18%
8412,9%,9%,18%
8413,9%,9%,18%
8414,9%,9%,18%
8416,9%,9%,18%
8417,9%,9%,18%
8418,9%,9%,18%
8419 other than8419 12,9%,9%,18%
8420,9%,9%,18%
8421,9%,9%,18%
"8422 20 00, 8422 30 00, 8422 40 00, 842290  other than 8422 11 00,8422 19 00",9%,9%,18%
8423,9%,9%,18%
8424,9%,9%,18%
8425,9%,9%,18%
8426,9%,9%,18%
8427,9%,9%,18%
8428,9%,9%,18%
8429,9%,9%,18%
8430,9%,9%,18%
8431,9%,9%,18%
8435,9%,9%,18%
8438,9%,9%,18%
8439,9%,9%,18%
8440,9%,9%,18%
8441,9%,9%,18%
8442,9%,9%,18%
8443,9%,9%,18%
8444,9%,9%,18%
8445,9%,9%,18%
8446,9%,9%,18%
8447,9%,9%,18%
8448,9%,9%,18%
8449,9%,9%,18%
8450,9%,9%,18%
8451,9%,9%,18%
8453,9%,9%,18%
8454,9%,9%,18%
8455,9%,9%,18%
8456,9%,9%,18%
8457,9%,9%,18%
8458,9%,9%,18%
8459,9%,9%,18%
8460,9%,9%,18%
8461,9%,9%,18%
8462,9%,9%,18%
8463,9%,9%,18%
8464,9%,9%,18%
8465,9%,9%,18%
8466,9%,9%,18%
8467,9%,9%,18%
8468,9%,9%,18%
8470,9%,9%,18%
8471,9%,9%,18%
8472,9%,9%,18%
8473,9%,9%,18%
8474,9%,9%,18%
8475,9%,9%,18%
8476,9%,9%,18%
8477,9%,9%,18%
8478,9%,9%,18%
8479,9%,9%,18%
8480,9%,9%,18%
8481,9%,9%,18%
8482,9%,9%,18%
8483,9%,9%,18%
8484,9%,9%,18%
8485,9%,9%,18%
8486,9%,9%,18%
8487,9%,9%,18%
8501,9%,9%,18%
8502,9%,9%,18%
8503,9%,9%,18%
8504,9%,9%,18%
8505,9%,9%,18%
8506,9%,9%,18%
8507 60 00,9%,9%,18%
8507,9%,9%,18%
8508,9%,9%,18%
8509,9%,9%,18%
8510,9%,9%,18%
8512,9%,9%,18%
8513,9%,9%,18%
8514,9%,9%,18%
8515,9%,9%,18%
8516,9%,9%,18%
8517,9%,9%,18%
8518,9%,9%,18%
8519,9%,9%,18%
8521,9%,9%,18%
8522,9%,9%,18%
8523,9%,9%,18%
8524,9%,9%,18%
8525 or 8806,9%,9%,18%
8526,9%,9%,18%
8527,9%,9%,18%
8528,9%,9%,18%
8528,9%,9%,18%
8529,9%,9%,18%
8530,9%,9%,18%
8531,9%,9%,18%
8532,9%,9%,18%
8533,9%,9%,18%
8534 00 00,9%,9%,18%
8535,9%,9%,18%
8536,9%,9%,18%
8537,9%,9%,18%
8538,9%,9%,18%
8539,9%,9%,18%
8540,9%,9%,18%
8541,9%,9%,18%
8542,9%,9%,18%
8543,9%,9%,18%
8544,9%,9%,18%
8545,9%,9%,18%
8546,9%,9%,18%
8547,9%,9%,18%
8548 or 8549,9%,9%,18%
8601,9%,9%,18%
8602,9%,9%,18%
8603,9%,9%,18%
8604,9%,9%,18%
8605,9%,9%,18%
8606,9%,9%,18%
8607,9%,9%,18%
8608,9%,9%,18%
8609,9%,9%,18%
8702,9%,9%,18%
8703,9%,9%,18%
8704,9%,9%,18%
8705,9%,9%,18%
8708,9%,9%,18%
8709,9%,9%,18%
8715,9%,9%,18%
8716,9%,9%,18%
8801,9%,9%,18%
8804,9%,9%,18%
8805,9%,9%,18%
8908 00 00,9%,9%,18%
9001,9%,9%,18%
9002,9%,9%,18%
 , , , 
9004,9%,9%,18%
9005,9%,9%,18%
9006,9%,9%,18%
9007,9%,9%,18%
9008,9%,9%,18%
9010,9%,9%,18%
9011,9%,9%,18%
9012,9%,9%,18%
9013,9%,9%,18%
9014,9%,9%,18%
9015,9%,9%,18%
9016,9%,9%,18%
9017,9%,9%,18%
9022,9%,9%,18%
9023,9%,9%,18%
9024,9%,9%,18%
9025,9%,9%,18%
9026,9%,9%,18%
9027,9%,9%,18%
9028,9%,9%,18%
9029,9%,9%,18%
9030,9%,9%,18%
9031,9%,9%,18%
9032,9%,9%,18%
9033,9%,9%,18%
9101,9%,9%,18%
9102,9%,9%,18%
9103,9%,9%,18%
9104,9%,9%,18%
9105,9%,9%,18%
9106,9%,9%,18%
9107,9%,9%,18%
9108,9%,9%,18%
9109,9%,9%,18%
9114,9%,9%,18%
9110,9%,9%,18%
9111,9%,9%,18%
9112,9%,9%,18%
9113,9%,9%,18%
9201,9%,9%,18%
9202,9%,9%,18%
9205,9%,9%,18%
9206 00 00,9%,9%,18%
9207,9%,9%,18%
9208,9%,9%,18%
9209,9%,9%,18%
9301,9%,9%,18%
9303,9%,9%,18%
9304,9%,9%,18%
9305,9%,9%,18%
9306,9%,9%,18%
9307,9%,9%,18%
9401 [other than9401 10 00],9%,9%,18%
9402,9%,9%,18%
9403,9%,9%,18%
9404,9%,9%,18%
9405,9%,9%,18%
9406,9%,9%,18%
9503,9%,9%,18%
9504,9%,9%,18%
9505,9%,9%,18%
9506,9%,9%,18%
9508,9%,9%,18%
9602,9%,9%,18%
"9606 21 00, 960622 00, 9606 29,9606 30",9%,9%,18%
9603 [other than9603 10 00],9%,9%,18%
9604 00 00,9%,9%,18%
9605,9%,9%,18%
 , , , 
9608,9%,9%,18%
9610 00 00,9%,9%,18%
9611,9%,9%,18%
9612,9%,9%,18%
9613,9%,9%,18%
9616,9%,9%,18%
9617,9%,9%,18%
9618,9%,9%,18%
9620 00 00,9%,9%,18%
9801,9%,9%,18%
9802,9%,9%,18%
4011 70 00,9%,9%,18%
4013 90 49,9%,9%,18%
8408 20 20,9%,9%,18%
8413 81 90,9%,9%,18%
8708 10 10,9%,9%,18%
8708 30 00,9%,9%,18%
8708 40 00,9%,9%,18%
8708 50 00,9%,9%,18%
8708 70 00,9%,9%,18%
8708 91 00,9%,9%,18%
8708 92 00,9%,9%,18%
8708 93 00,9%,9%,18%
8708 94 00,9%,9%,18%
8708 99 00,9%,9%,18%
8708 99 00,9%,9%,18%
Any Chapter,9%,9%,18%
Any Chapter,9%,9%,18%
Any Chapter,9%,9%,18%
1703,14%,14%,28%
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
2106 90 20,14%,14%,28%
 , , , 
2202 10,14%,14%,28%
2202 99 90,14%,14%,28%
2202,14%,14%,28%
2401,14%,14%,28%
2402,14%,14%,28%
2403,14%,14%,28%
2404 11 00,14%,14%,28%
2404 19 00,14%,14%,28%
 , , , 
 , , , 
2523,14%,14%,28%
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
4011,14%,14%,28%
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
8407,14%,14%,28%
8408,14%,14%,28%
8409,14%,14%,28%
8413,14%,14%,28%
 , , , 
8415,14%,14%,28%
 , , , 
 , , , 
8422,14%,14%,28%
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
8507,14%,14%,28%
 , , , 
 , , , 
 , , , 
8511,14%,14%,28%
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
8528,14%,14%,28%
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
8701,14%,14%,28%
8702,14%,14%,28%
8703,14%,14%,28%
8704,14%,14%,28%
 , , , 
8706,14%,14%,28%
8707,14%,14%,28%
8708,14%,14%,28%
 , , , 
 , , , 
8711,14%,14%,28%
8714,14%,14%,28%
 , , , 
8802 or8806,14%,14%,28%
8903,14%,14%,28%
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
9302,14%,14%,28%
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
9614,14%,14%,28%
 , , , 
 , , , 
 , , , 
9804,14%,14%,28%
Anychapter,14%,14%,28%
Any Chapter,14%,14%,28%
7101,1.5%,1.5%,3%
 , , , 
 , , , 
 , , , 
7105,1.5%,1.5%,3%
7106,1.5%,1.5%,3%
7107,1.5%,1.5%,3%
7108,1.5%,1.5%,3%
7109,1.5%,1.5%,3%
7110,1.5%,1.5%,3%
7111,1.5%,1.5%,3%
7112,1.5%,1.5%,3%
7113,1.5%,1.5%,3%
7114,1.5%,1.5%,3%
7115,1.5%,1.5%,3%
7116,1.5%,1.5%,3%
7117,1.5%,1.5%,3%
7118,1.5%,1.5%,3%
"



 



", , , 
7113 11 10,1.5%,1.5%,3%
7117,1.5%,1.5%,3%
7102,0.125%,0.125%,0.25%
7103,0.125%,0.125%,0.25%
 , , , 
7104,0.125%,0.125%,0.25%
 , , , 
 0101,0,0,0
0102,0,0,0
0103,0,0,0
0104,0,0,0
0105,0,0,0
0106,0,0,0
0201,0,0,0
"0203,0204,0205,0206,0207,0208,0209",0,0,0
"0202,0203,0204,0205,0206,0207,0208,0209,0210",0,0,0
 ,0,0,0
 ,0,0,0
 ,0,0,0
 ,0,0,0
 ,0,0,0
 ,0,0,0
 ,0,0,0
 ,0,0,0
03,0,0,0
0301,0,0,0
0302,0,0,0
"0304,0306,0307,0308",0,0,0
"0303,0304, 0305,0306, 0307,0308,0309",0,0,0
 ,0,0,0
 ,0,0,0
0401,0,0,0
0403,0,0,0
0406,0,0,0
0407,0,0,0
0409,0,0,0
0501,0,0,0
0504,0,0,0
0504,0,0,0
0506,0,0,0
0507 90,0,0,0
0511,0,0,0
06,0,0,0
0701,0,0,0
0702,0,0,0
0703,0,0,0
0704,0,0,0
0705,0,0,0
0706,0,0,0
0707,0,0,0
0708,0,0,0
0709,0,0,0
0710,0,0,0
0711,0,0,0
0712,0,0,0
0713,0,0,0
0714,0,0,0
714,0,0,0
08,0,0,0
0801,0,0,0
0801,0,0,0
0802,0,0,0
0803,0,0,0
0804,0,0,0
0805,0,0,0
0806,0,0,0
0807,0,0,0
0808,0,0,0
0809,0,0,0
0810,0,0,0
0813,0,0,0
0814,0,0,0
"7, 9 or 10",0,0,0
0901,0,0,0
0902,0,0,0
0909,0,0,0
0910 11 10,0,0,0
0910 30 10,0,0,0
1001,0,0,0
1002,0,0,0
1003,0,0,0
1004,0,0,0
1005,0,0,0
1006,0,0,0
1007,0,0,0
1008,0,0,0
1101,0,0,0
1102,0,0,0
1103,0,0,0
1104,0,0,0
1105,0,0,0
1106,0,0,0
1106 10 10,0,0,0
12,0,0,0
1201,0,0,0
1202,0,0,0
1204,0,0,0
1205,0,0,0
1206,0,0,0
1207,0,0,0
1209,0,0,0
1210,0,0,0
1210 10 00,0,0,0
1211,0,0,0
1212,0,0,0
1213,0,0,0
1214,0,0,0
1301,0,0,0
1401,0,0,0
1404 90 40,0,0,0
1404 90 60,0,0,0
1404 90 90,0,0,0
1701 or1702,0,0,0
1904,0,0,0
1905,0,0,0
1905,0,0,0
2009 89 90,0,0,0
2106,0,0,0
2201,0,0,0
2201,0,0,0
 ,0,0,0
"2301,2302,2308,2309",0,0,0
[2302,0,0,0
2306,0,0,0
2501,0,0,0
26,0,0,0
2716 00 00,0,0,0
2835,0,0,0
3002,0,0,0
3006,0,0,0
3101,0,0,0
3304,0,0,0
3825,0,0,0
3926,0,0,0
4014,0,0,0
4401,0,0,0
4402,0,0,0
44 or 68,0,0,0
46,0,0,0
46,0,0,0
4802 / 4907,0,0,0
4817 / 4907,0,0,0
48 or 4907or 71,0,0,0
4907,0,0,0
4901,0,0,0
4902,0,0,0
4903,0,0,0
4904,0,0,0
4905,0,0,0
4907,0,0,0
5001,0,0,0
5002,0,0,0
5003,0,0,0
5101,0,0,0
5102,0,0,0
5103,0,0,0
52,0,0,0
52,0,0,0
50 to 55,0,0,0
5303,0,0,0
5305,0,0,0
53,0,0,0
63,0,0,0
6703,0,0,0
6912 00 40,0,0,0
69,0,0,0
7018,0,0,0
7117,0,0,0
8201,0,0,0
8445,0,0,0
8446,0,0,0
8802 60 00,0,0,0
8807,0,0,0
9021,0,0,0
92,0,0,0
9603,0,0,0
9609,0,0,0
9610 00 00,0,0,0
96190010 or  96190020,0,0,0
9803,0,0,0
Any chapter,0,0,0
-,0,0,0
-,0,0,0
AnyChapter,0,0,0
Any Chapterexcept 71,0,0,0
Any Chapter,0,0,0
2106 90 20, , , 
2202 10 10, , , 
2202 10 20, , , 
2202 10 90, , , 
2202 99 90, , , 
2401, , , 
2401, , , 
2401 30 00, , , 
2402 10 10, , , 
2402 10 10, , , 
2402 20 10, , , 
2402 20 20, , , 
2402 20 30, , , 
2402 20 40, , , 
2402 20 50, , , 
2402 20 90, , , 
2402 90 10, , , 
2402 90 20, , , 
2402 90 90, , , 
2403 11 10, , , 
2403 11 10, , , 
2403 11 90, , , 
2403 19 10, , , 
2403 19 90, , , 
2403 19 90, , , 
2403 91 00, , , 
2403 99 10, , , 
2403 99 10, , , 
2403 99 10, , , 
2403 99 20, , , 
2403 99 30, , , 
2403 99 40, , , 
2403 99 50, , , 
2403 99 60, , , 
2403 99 60, , , 
2403 99 70, , , 
2403 99 90, , , 
2403 99 90, , , 
2403 99 90, , , 
2701, , , 
2702, , , 
2703, , , 
27, , , 
"8702 10,8702 20,8702 30,8702 90", , , 
87, , , 
87, , , 
8702 or8703, , , 
"8703 10 10,8703 80", , , 
8703, , , 
8703, , , 
"8703 40,8703 60", , , 
"8703 50,8703 70", , , 
8703, , , 
"8702, 870321 or 8703 22", , , 
"8702, 8703 31", , , 
[8703, , , 
8703, , , 
8703, , , 
8711, , , 
8802, , , 
8903, , , 
Any chapter, , , 
(3),(5),,
All Services, , , 
Construction Services, , , 
"(i)  Construction  of  affordable  residential apartments by a promoter in a Residential Real Estate Project (herein after referred to as RREP)  which  commences  on  or  after  1  st April, 2019 or in an ongoing RREP in respect of which  the  promoter  has  not  exercised option to pay integrated tax on construction of apartments at the rates as specified for item (ie) or (if) below, as the case may be, in the manner prescribed therein, intended for sale to a buyer, wholly or partly, except where the entire consideration has been received after issuance of completion certificate, where required, by the competent authority or after its first occupation, whichever is earlier. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",0.75,1.5,"Provided that the integrated tax at the rate specified in column (4) shall be paid in cash, that is, by debiting the electronic cash ledger only; Provided also that credit of input tax charged on goods and services used in supplying the service has not been taken except to the extent as prescribed in Annexure I in the case of REP other than RREP and in Annexure II in the case of RREP;Provided also that the registered person shall pay, by debit in the electronic credit ledger or electronic cash ledger, an amount equivalent to the input tax credit   attributable to construction in a project, time of supply of  which is on or after 1 st April, 2019, which shall be calculated in the manner as prescribed in the Annexure I in the case of REP other than RREP and in Annexure II in the case of RREP;Provided also that where a registered person (landowner- promoter) who transfers development    right or   FSI   (including additional FSI) to a promoter (developer- promoter)     against consideration, wholly or partly, in the        form        of construction         of apartments, -(i)   the developer- promoter shall pay tax on supply of construction         of apartments   to   the landowner promoter, and(ii) such landowner– promoter shall be eligible for credit of taxes charged from him        by        the developer promoter towards the supply of construction of apartments  by developer- promoter   to   him, provided  the landowner- promoter   further supplies such apartments to his buyers  before issuance  of completion certificate   or   first occupation, whichever is earlier, and pays tax on the same which is not less than the amount of tax charged from him on construction of such apartments by the developer promoter.Explanation. –(i) “developer- promoter” is a promoter  who constructs or converts a building into apartments or develops a plot for sale,(ii)    “landowner- promoter”     is     a promoter          who transfers the land or development rights or      FSI      to      a developer- promoter for construction  of apartments  and receives constructed apartments   against such       transferred rights and sells such apartments   to   his buyers independently.(iii)   the landowner- promoter shall be eligible   to    utilise the   credit   of   tax charged to him by the          developer- promoter            for payment of tax on apartments supplied by  the  landowner- promoter in such project.Provided also that eighty   percent   of value of input and input          services, [other than services by way of grant of development rights, long term lease of land            (against upfront payment in the        form        of premium,     salami, development charges etc.) or FSI (including additional        FSI), electricity, high speed diesel, motor spirit, natural gas], used in supplying the service shall be received from registered supplier only; Provided also that inputs and input services on which tax is paid on reverse charge basis shall be deemed to have been purchased from registered person; Provided also that where value of input and input services received from registered suppliers during the financial   year   (or part of the financial year till the date of issuance  of completion certificate   or   first occupation of the project,   whichever is earlier) falls short of  the  said threshold of 80 per cent., tax shall be paid   by  the promoter on value of input and input services comprising such shortfall at the rate    of    eighteen percent on reverse charge basis and all the   provisions   of the  Integrated Goods and Services Tax Act, 2017 (13 of 2017) shall apply to him as if he  is the person liable for paying the tax in relation      to      the supply     of     such goods or services or both; Provided also that notwithstanding anything contained herein above, where cement is received from an unregisteredperson, the promoter shall pay tax   on   supply   of such cement at the applicable rates on reverse charge basis and all the provisions of the Integrated Goods and Services Tax Act,  2017  (13  of 2017), shall  apply to him as if he is the person liable for paying the tax in relation to such supply of cement; (Please refer to the illustrations          in annexure   III)  Explanation.   -   1. The promoter shall maintain  project wise    account   of inward  supplies from registered and unregistered supplier   and calculate tax payments on the shortfall at the end of the financial year and shall submit the same  in   the prescribed form electronically  on the common portal by end of the quarter following the financial year. The tax liability on the shortfall of inward supplies from unregistered person  so determined shall be added to his output tax liability in the month not later than the month of June following the end of the financial year.                                2.Notwithstanding anything contained in    Explanation   1 above,  tax      on cement received from unregistered person shall be paid in the month in which cement is received. 3. Input Tax Credit not availed shall be reported every month by reporting the same as ineligible credit in GSTR-3B [Row No. 4 (D)(2)]. "
"(ia) Construction of residential apartments other than affordable residential apartments by a promoter in an RREP which commences on or after 1 st April, 2019 or in an ongoing RREP in respect of which the promoter has not exercised option to pay integrated tax on construction of apartments at the rates as specified for item (ie) or (if) below, as the case may be, in the manner prescribed therein, intended for sale to a buyer, wholly or partly, except where the entire consideration has been received  after issuance of completion certificate, where required, by the competent authority or after its first occupation, whichever is earlier. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",3.75,7.5,
"(ib) Construction of commercial apartments (shops, offices, godowns etc.) by a promoter in an RREP which commences on or after 1 st April, 2019 or in an ongoing RREP in respect of which the promoter has not exercised option to pay integrated tax on construction of apartments at the rates as specified for item (ie) or (if) below, as the case may be, in the manner prescribed therein, intended for sale to a buyer, wholly or partly, except where the entire consideration has been received  after issuance of completion certificate, where required, by the competent authority or after its first occupation, whichever is earlier. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",3.75,7.5,
"(ic) Construction of affordable residential apartments by a promoter in a Real Estate Project (herein after referred to as REP) other than RREP, which commences on or after 1 st April, 2019 or in an ongoing REP other than RREP in respect of which the promoter has not exercised option to pay integrated tax on construction of apartments at the rates as specified for item (ie) or (if) below, as the case may be, in the manner prescribed therein, intended for sale to a buyer, wholly or partly, except where the entire consideration has been received  after issuance of completion certificate, where required, by the competent authority or after its first occupation, whichever is earlier. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",0.75,1.5,
"(id) Construction of residential apartments other than affordable residential apartments by a promoter in a REP other than a RREP which commences on or after 1 st April, 2019 or in an ongoing REP other than RREP in respect of which the promoter has not exercised option to pay integrated tax on construction of apartments at the rates as specified for item (ie) or (if) below, as the case may be, in the manner prescribed therein, intended for sale to a buyer, wholly or partly, except where the entire consideration has been received  after issuance of completion certificate, where required, by the competent authority or after its first occupation, whichever is earlier. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",3.75,7.5,
"(ie) Construction of an apartment in an ongoing project under any of the schemes specified in sub-item (b), sub-item (c), subitem (d), sub-item (da) and sub-item (db) of item (iv); sub-item (b), sub-item (c), sub- item (d) and sub-item (da) of item (v); and sub-item (c) of item (vi), against serial number 3 of the Table, in respect of which the promoter has exercised option to pay integrated tax on construction of apartments at the rates as specified for this item. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",6,12,"Provided that in case of ongoing project, the registered person shall exercise one time option in the Form at Annexure IV to pay integrated tax on construction of apartments in a project at the rates as specified for item (ie) or (if), as the case may be, by the [20th] 6 of May, 2019; Provided also that where the option is not  exercised in Form at annexure IV by the [20th]of May, 2019, option to pay tax at the rates as applicable to item (i) or (ia) or (ib) or (ic) or (id) above, as the case may be, shall be deemed to have been exercised; Provided also that invoices for supply of the service can be issued during the period from 1st April 2019 to[20th]8 May 2019 before exercising the option, but such invoices shall be in accordance with the option to be exercised"
"(if) Construction of a complex, building, civil structure or a part thereof, including,- (i) commercial apartments (shops, offices,godowns etc.) by a promoter in a REP other than RREP, (ii) residential apartments in an ongoing project, other than affordable residential apartments, in respect of which the promoter has exercised option to pay integrated tax on construction of apartments at the rates as specified for this item in the manner prescribed herein, but excluding supply by way of services specified at items (i), (ia), (ib), (ic), (id) and (ie) above intended for sale to a buyer, wholly or partly, except where the entire consideration has been received after issuance of completion certificate, where required, by the competent authority or after its first occupation, whichever is earlier. Explanation. -For the removal of doubt, it is hereby clarified that, supply by way of services specified at items (i), (ia), (ib), (ic), (id) and (ie) in column (3) shall attract integrated tax prescribed against them in column (4) subject to conditions specified against them in column (5) and shall not be levied at the rate as specified under this entry. (Provisions of paragraph 2 of this notification shall apply for valuation of this service",9,18,
"(iii) Composite supply of works contract as defined in clause (119) of section 2 of the Central Goods and Services Tax Act, 2017, supplied  to  the  Central  Government,  StateGovernment, Union territory or a local authority by way of construction, erection, commissioning, installation, completion, fitting out, repair, maintenance, renovation, or alteration of, -(a) a historical monument, archaeological site or remains of national importance, archaeological excavation, or antiquity specified under the Ancient Monuments and Archaeological Sites and Remains Act, 1958 (24 of 1958);(b) canal, dam or other irrigation works;(c) pipeline, conduit or plant for (i) water supply (ii) water treatment, or (iii) sewerage treatment or disposal.",6,12, 
"(iv) Composite supply of works contract as defined in clause (119) of section 2 of the Central Goods and Services Tax Act, 2017 other than that covered by items (i), (ia),(ib), (ic), (id), (ie) and (if)]16  above, supplied byway of construction, erection, commissioning, installation, completion, fitting out, repair, maintenance, renovation, or alteration of,-(a) a road, bridge, tunnel, or terminal  for road transportation for use by general public;(b) a civil structure or any other original works pertaining to a scheme under Jawaharlal Nehru National Urban Renewal Mission or Rajiv Awaas Yojana;(c) a civil structure or any other original works pertaining to the “ln-situ redevelopment of existing slums using land as  a  resource,  under  the  Housing  for  All(Urban)   Mission/   Pradhan   Mantri   Awas Yojana (Urban);(d) a civil structure or any other original works pertaining to the “Beneficiary led individual house construction / enhancement” under the Housing for All (Urban) Mission/Pradhan Mantri Awas Yojana;(da) a civil structure or any other original works pertaining to the “Economically Weaker Section (EWS) houses” constructed under the Affordable Housing in partnership by State or Union Territory or local authority or urban development authority under the Housing for All (Urban) Mission/ Pradhan Mantri Awas Yojana (Urban);(db) a civil structure or any other original works pertaining to the “houses constructed or acquired under the Credit Linked Subsidy Scheme for Economically Weaker Section (EWS)/ Lower Income Group (LIG)/ Middle Income Group-1 (MlG-1)/ Middle Income Group-2 (MlG-2)” under the Housing for All (Urban) Mission/ Pradhan Mantri Awas Yojana (Urban);(e) a pollution control or effluent treatment plant, except located as a part of a factory; or(f) a structure meant for funeral, burial or cremation of deceased.Provided that during the period beginning from  the  14th  June,  2021  and  ending with the 30th September, 2021, the central tax on service of description as specified in clause (f), shall, irrespective of rate specified in column (4), be levied at the rate of 5 per cent.(g) a building owned by an entity registered under section 12AA [or 12AB]21 of the Income Tax Act, 1961 (43 of 1961), which is used for carrying out the activities of providing, centralised cooking or distribution, for mid-day meals under the mid-day meal scheme sponsored by the Central Government, State Government, Union territory or local authorities.]22",6,12, 
"(v) Composite supply of works contract as defined in clause (119) of section 2 of the Central Goods and Services Tax Act, 2017 [other than that covered by items  (i),  (ia),(ib), (ic), (id), (ie) and (if) above]24, supplied by way of construction, erection, commissioning, or installation of original works pertaining to,-(a) railways, [excluding]25 monorail and metro;(b) a single residential unit otherwise than as a part of a residential complex;(c) low-cost houses up to a carpet area of 60 square metres per house in a housing project approved by competent authority empowered under the 'Scheme of Affordable Housing in Partnership' framed by the Ministry of Housing and Urban Poverty Alleviation, Government of India;(d) low cost houses up to a carpet area of 60 square metres per house in a housing project approved by the competent authority under-(1) the “Affordable Housing in Partnership” component of the Housing for All (Urban) Mission/Pradhan Mantri Awas Yojana; (2) any housing scheme of a State Government; [(da) low-cost houses up to a carpet area of 60 square metres per house in an affordable housing   project   which   has   been   given infrastructure   status   vide   notification   of Government of India, in Ministry of Finance, Department of Economic Affairs vide F. No. 13/6/2009-INF,    dated    the    30th    March,2017;]26(e) post-harvest storage infrastructure for agricultural produce including a cold storage for such purposes; or (f) mechanised food grain handling system, machinery or equipment for units processing agricultural produce as food stuff excluding alcoholic beverages.",6,12,"Provided  that where the services are supplied to a Government Entity, they should have been procured by the said entity in relation to a work entrusted to it by the Central Government, State Government, Union territory or local authority, as the case may be;"
